homeTeam,awayTeam
VGK,ANA
ANA,CAR
ANA,DAL
ARI,ANA
ANA,BOS
CBJ,ANA
BOS,ANA
PHI,ANA
PIT,ANA
ANA,ARI
ANA,VGK
ANA,PIT
ANA,PHI
ANA,SJS
NSH,ANA
COL,ANA
ANA,FLA
ANA,STL
ANA,MTL
ANA,LAK
EDM,ANA
VAN,ANA
ANA,WSH
ANA,COL
COL,ANA
CHI,ANA
ANA,WPG
NYI,ANA
NYR,ANA
NJD,ANA
DET,ANA
ANA,CGY
ANA,SEA
ANA,VGK
ANA,ARI
ANA,EDM
ANA,TOR
ANA,WPG
ANA,DET
NSH,ANA
CAR,ANA
TBL,ANA
FLA,ANA
WSH,ANA
SJS,ANA
ANA,NYR
ANA,BUF
DAL,ANA
MIN,ANA
ANA,SJS
ANA,EDM
MTL,ANA
OTT,ANA
TOR,ANA
BUF,ANA
ANA,CBJ
LAK,ANA
ANA,NSH
SJS,ANA
ANA,NJD
ANA,VAN
ANA,OTT
ANA,DAL
ANA,NYI
CHI,ANA
MIN,ANA
WPG,ANA
STL,ANA
ANA,MIN
ANA,CHI
ANA,TBL
SEA,ANA
SEA,ANA
EDM,ANA
VAN,ANA
CGY,ANA
ANA,SEA
ANA,STL
ANA,LAK
ANA,CGY
LAK,ANA
VGK,ANA
NJD,ARI
NYR,ARI
NYI,ARI
STL,ARI
LAK,ARI
ARI,LAK
ARI,CHI
ARI,MTL
ARI,WPG
ARI,SEA
STL,ARI
NSH,ARI
DAL,ARI
CBJ,ARI
WPG,ARI
ARI,LAK
ARI,STL
VGK,ARI
ARI,TBL
ARI,COL
ARI,STL
ARI,WSH
ARI,PHI
BOS,ARI
BUF,ARI
PIT,ARI
ARI,SJS
ARI,BUF
ARI,OTT
SJS,ARI
COL,ARI
ARI,COL
ARI,FLA
ARI,NYI
ARI,WPG
ARI,BOS
ARI,CGY
MIN,ARI
CGY,ARI
VAN,ARI
ARI,NSH
ARI,PIT
FLA,ARI
TBL,ARI
CAR,ARI
ARI,VGK
NSH,ARI
PHI,ARI
ARI,MIN
ARI,CAR
COL,ARI
ARI,EDM
ARI,TOR
WPG,ARI
MTL,ARI
TOR,ARI
OTT,ARI
WSH,ARI
ARI,CHI
ARI,MIN
ARI,DET
CHI,ARI
MIN,ARI
DET,ARI
ARI,NJD
DAL,ARI
ARI,SEA
ARI,DAL
ARI,CBJ
ARI,NSH
ARI,NYR
ARI,VAN
ARI,VGK
SJS,ARI
SEA,ARI
VAN,ARI
EDM,ARI
CGY,ARI
ARI,EDM
BOS,CHI
BOS,NSH
SJS,BOS
LAK,BOS
CHI,BOS
BOS,DET
BOS,FLA
BOS,TOR
DET,BOS
DAL,BOS
BOS,NYI
MTL,BOS
BUF,BOS
BOS,MTL
TBL,BOS
FLA,BOS
BOS,DET
NYR,BOS
CBJ,BOS
BOS,SJS
TOR,BOS
BOS,CBJ
BOS,BUF
NJD,BOS
NYI,BOS
BOS,NYR
BOS,MIN
WPG,BOS
MIN,BOS
BUF,BOS
BOS,NJD
DET,BOS
CBJ,BOS
BOS,PIT
BOS,TBL
COL,BOS
VGK,BOS
STL,BOS
BOS,NJD
BOS,COL
BOS,MTL
BOS,WPG
BOS,CAR
OTT,BOS
PHI,BOS
BOS,CGY
BOS,VAN
BOS,WSH
BOS,TBL
BOS,SEA
BOS,LAK
BOS,DAL
EDM,BOS
CGY,BOS
VAN,BOS
SEA,BOS
BOS,VGK
NYI,BOS
TOR,BOS
BOS,EDM
BOS,TOR
BOS,PIT
BOS,STL
MTL,BOS
BOS,PHI
BOS,OTT
BOS,NYR
PHI,BOS
FLA,BOS
TBL,BOS
WSH,BOS
NSH,BOS
CAR,BOS
BOS,FLA
BOS,CAR
PIT,BOS
WSH,BOS
BOS,OTT
BUF,NYR
NYI,BUF
BUF,TBL
BUF,CGY
BUF,NYI
BUF,MTL
OTT,BUF
NJD,BUF
BUF,COL
PHI,BUF
BUF,PHI
TOR,BUF
CAR,BUF
BUF,MIN
PIT,BUF
WPG,BUF
CHI,BUF
WSH,BUF
BUF,PIT
NJD,BUF
NYR,BUF
STL,BUF
CAR,BUF
BUF,NSH
BUF,DET
BUF,MTL
COL,BUF
VGK,BUF
BUF,CBJ
BUF,TOR
NYR,BUF
BUF,CBJ
OTT,BUF
MTL,BUF
PIT,BUF
BUF,SEA
BUF,OTT
BUF,VAN
BUF,SJS
BUF,CHI
BUF,TBL
LAK,BUF
SJS,BUF
BUF,DAL
BUF,STL
BUF,LAK
BUF,FLA
MIN,BUF
MTL,BUF
CBJ,BUF
BUF,CAR
FLA,BUF
TBL,BUF
BUF,VGK
BUF,WPG
TOR,BUF
NSH,BUF
BUF,EDM
BUF,DET
BUF,NYI
DET,BUF
SEA,BUF
VAN,BUF
EDM,BUF
CGY,BUF
BUF,OTT
BUF,NJD
BUF,TOR
BUF,WSH
BUF,PHI
DET,BUF
DAL,BUF
BUF,WSH
FLA,BUF
TBL,BUF
CGY,WPG
PIT,CGY
WSH,CGY
CBJ,CGY
DET,CGY
CGY,NYR
CGY,STL
EDM,CGY
CGY,DAL
SEA,CGY
CGY,NSH
TOR,CGY
OTT,CGY
MTL,CGY
CGY,VAN
CGY,NYI
SEA,CGY
NSH,CGY
DAL,CGY
COL,CGY
